brand,price,year,currency,country,zip_code,odometer,service_history,doy,moy
Nissan NV200,54471,2022,AUD,australia,4217,86241,y,8,6
Chevrolet Express,46290,2016,AUD,australia,4655,82876,y,51,13
Fiat Ducato,39217,2024,AUD,australia,4000,92146,n,259,9
Dodge Ram Promaster,57893,2018,AUD,australia,4740,73525,n,105,11
Toyota Hiace,58622,2015,AUD,australia,2600,50051,y,149,6
Chevrolet Express,28550,2017,AUD,australia,3630,66960,n,191,10
Toyota Hiace,36246,2024,AUD,australia,7250,60891,n,116,8
Toyota Hiace,33413,2020,AUD,australia,2450,74346,n,313,1
Volkswagen Westfalia,12416,2015,AUD,australia,4551,99693,y,360,13
Hymer Aktiv,47530,2022,AUD,australia,2650,63975,n,117,5
Mercedes-Benz Sprinter,43351,2015,AUD,australia,2300,55686,n,175,10
Volkswagen California,26783,2018,AUD,australia,6000,86286,n,80,12
Volkswagen Westfalia,34304,2015,AUD,australia,7000,92349,n,20,10
Ford Transit,28913,2019,AUD,australia,3350,53292,y,202,4
Chevrolet Express,45463,2023,AUD,australia,4551,81128,y,307,7
Fiat Ducato,54350,2023,AUD,australia,4000,81463,n,49,6
Mercedes-Benz Sprinter,53128,2024,AUD,australia,3630,61825,y,80,10
Fiat Ducato,54732,2020,AUD,australia,2450,66384,y,102,1
Nissan NV200,45336,2025,AUD,australia,4740,77322,n,205,1
Nissan NV200,26792,2021,AUD,australia,4350,68918,n,177,2
Dodge Ram Promaster,37791,2016,AUD,australia,4655,97928,n,268,11
Nissan NV200,34071,2023,AUD,australia,2000,90234,y,20,4
Nissan NV200,27750,2024,AUD,australia,3500,55494,n,315,1
Dodge Ram Promaster,50315,2020,AUD,australia,2300,85706,n,79,11
Mercedes-Benz Sprinter,19198,2019,AUD,australia,4551,53028,y,64,6
Hymer Aktiv,17300,2022,AUD,australia,4217,94343,y,36,10
Chevrolet Express,53688,2016,AUD,australia,6000,93106,y,361,8
Chevrolet Express,25060,2024,AUD,australia,3350,68344,n,15,6
Mercedes-Benz Sprinter,14677,2025,AUD,australia,3500,64409,y,176,13
Fiat Ducato,46842,2015,AUD,australia,2300,98948,y,182,6
Dodge Ram Promaster,11051,2018,AUD,australia,3220,88565,y,67,9
Volkswagen Westfalia,33939,2017,AUD,australia,3500,82875,n,234,6
Toyota Hiace,51694,2025,AUD,australia,4700,76987,y,318,9
Chevrolet Express,17994,2024,AUD,australia,4655,58318,y,321,5
Toyota Hiace,22345,2024,AUD,australia,6000,93418,y,9,3
Ford Transit,15926,2018,AUD,australia,4740,66236,y,286,5
Toyota Hiace,34528,2025,AUD,australia,2300,89671,y,175,8
Hymer Aktiv,31135,2015,AUD,australia,2300,66054,y,252,5
Dodge Ram Promaster,54599,2025,AUD,australia,3220,84578,n,276,3
Nissan NV200,29365,2020,AUD,australia,3500,64289,y,221,12
Volkswagen California,43518,2022,AUD,australia,4870,83395,n,18,3
Dodge Ram Promaster,50121,2023,AUD,australia,3550,64124,y,279,6
Hymer Aktiv,53076,2022,AUD,australia,3350,61769,n,300,13
Volkswagen California,15229,2024,AUD,australia,2500,58883,y,73,3
Chevrolet Express,54267,2017,AUD,australia,3220,82541,n,235,13
Mercedes-Benz Sprinter,25195,2020,AUD,australia,3000,92623,y,73,8
Toyota Hiace,25468,2016,AUD,australia,3500,62118,n,174,12
Fiat Ducato,55286,2015,AUD,australia,7000,52654,n,121,7
Dodge Ram Promaster,20830,2015,AUD,australia,4870,79907,n,162,9
Volkswagen California,50191,2021,AUD,australia,6000,69986,n,219,4
Volkswagen California,18617,2021,AUD,australia,6000,90377,y,364,3
Fiat Ducato,55370,2024,AUD,australia,3350,68849,n,39,6
Nissan NV200,37929,2018,AUD,australia,4670,86705,n,194,1
Hymer Aktiv,45819,2020,AUD,australia,4810,91507,y,223,9
Volkswagen California,18251,2020,AUD,australia,6230,76818,y,73,2
Dodge Ram Promaster,52170,2024,AUD,australia,4000,70677,n,360,10
Hymer Aktiv,30670,2019,AUD,australia,3550,75333,y,176,1
Volkswagen Westfalia,48587,2016,AUD,australia,2500,64351,y,197,12
Toyota Hiace,55016,2023,AUD,australia,2600,64457,n,174,8
Volkswagen California,55873,2020,AUD,australia,4000,52189,n,220,6
Nissan NV200,32793,2021,AUD,australia,5000,92405,n,186,7
Toyota Hiace,48452,2015,AUD,australia,7000,67739,n,107,4
Mercedes-Benz Sprinter,49050,2016,AUD,australia,6000,60050,n,51,6
Fiat Ducato,43432,2021,AUD,australia,6000,88088,n,134,9
Hymer Aktiv,17697,2019,AUD,australia,2500,96863,y,214,4
Fiat Ducato,36282,2023,AUD,australia,4655,56285,y,89,1
Mercedes-Benz Sprinter,39777,2018,AUD,australia,4810,51823,n,212,5
Chevrolet Express,34764,2016,AUD,australia,4740,63244,n,224,4
Nissan NV200,27380,2023,AUD,australia,5000,85910,n,277,3
Hymer Aktiv,54828,2023,AUD,australia,7250,54751,n,352,5
Dodge Ram Promaster,12860,2019,AUD,australia,3350,76989,n,179,11
Ford Transit,58733,2017,AUD,australia,2600,57755,n,300,12
Volkswagen Westfalia,42599,2019,AUD,australia,7250,51336,n,86,9
Mercedes-Benz Sprinter,33209,2019,AUD,australia,2000,57154,y,24,2
Toyota Hiace,58087,2020,AUD,australia,3350,81931,n,362,7
Nissan NV200,50419,2022,AUD,australia,4700,97680,y,85,9
Nissan NV200,50599,2023,AUD,australia,3350,58309,y,324,6
Ford Transit,27431,2015,AUD,australia,4655,90583,n,155,8
Mercedes-Benz Sprinter,31172,2019,AUD,australia,2300,99480,y,163,10
Volkswagen California,44010,2025,AUD,australia,4000,59218,n,157,6
Nissan NV200,22255,2020,AUD,australia,7000,69695,n,27,13
Dodge Ram Promaster,58000,2025,AUD,australia,4350,97808,n,241,3
Mercedes-Benz Sprinter,43587,2017,AUD,australia,5000,57184,y,149,11
Dodge Ram Promaster,36424,2018,AUD,australia,2650,82300,y,110,10
Mercedes-Benz Sprinter,46516,2020,AUD,australia,2830,73577,y,187,13
Volkswagen Westfalia,45171,2024,AUD,australia,4740,83777,y,271,8
Ford Transit,42930,2021,AUD,australia,4670,51813,n,163,13
Ford Transit,30524,2016,AUD,australia,4655,81678,y,359,9
Hymer Aktiv,38424,2019,AUD,australia,6230,82565,n,276,13
Nissan NV200,47023,2015,AUD,australia,7250,64293,n,140,1
Nissan NV200,49966,2020,AUD,australia,3550,80624,n,69,10
Chevrolet Express,48735,2016,AUD,australia,4740,99991,y,37,1
Volkswagen Westfalia,52785,2016,AUD,australia,4870,91599,y,251,6
Hymer Aktiv,18525,2022,AUD,australia,4000,58724,n,78,1
Volkswagen Westfalia,55949,2016,AUD,australia,2650,96286,y,290,6
Dodge Ram Promaster,32500,2018,AUD,australia,6230,61513,n,56,5
Nissan NV200,33330,2022,AUD,australia,2640,79178,y,353,11
Volkswagen Westfalia,45032,2018,AUD,australia,2640,60452,y,239,1
Ford Transit,46692,2017,AUD,australia,4000,61027,y,270,6
Volkswagen Westfalia,28715,2017,AUD,australia,2640,60776,y,106,8
Fiat Ducato,18793,2023,AUD,australia,2000,88425,n,110,13
Dodge Ram Promaster,22147,2022,AUD,australia,4217,99164,n,309,1
Hymer Aktiv,44737,2017,AUD,australia,2300,77728,y,315,6
Volkswagen California,40293,2016,AUD,australia,2600,52765,n,57,2
Mercedes-Benz Sprinter,50554,2022,AUD,australia,4700,91842,n,45,13
Volkswagen California,10820,2019,AUD,australia,2500,53477,n,60,11
Toyota Hiace,54835,2021,AUD,australia,2640,79266,y,279,6
Chevrolet Express,20007,2017,AUD,australia,7250,65466,y,17,1
Dodge Ram Promaster,41881,2017,AUD,australia,4740,86280,n,229,6
Volkswagen Westfalia,31132,2016,AUD,australia,3630,84689,n,275,9
Ford Transit,33775,2020,AUD,australia,4870,89440,n,273,6
Volkswagen Westfalia,56490,2015,AUD,australia,3220,96260,y,25,9
Volkswagen California,21493,2017,AUD,australia,2650,68634,n,183,12
Hymer Aktiv,48724,2025,AUD,australia,4700,79203,y,11,13
Ford Transit,21560,2022,AUD,australia,3000,52121,n,204,2
Hymer Aktiv,28022,2022,AUD,australia,4000,61321,y,13,2
Dodge Ram Promaster,56432,2019,AUD,australia,3630,73792,y,24,6
Volkswagen Westfalia,23423,2015,AUD,australia,4740,91115,n,76,3
Mercedes-Benz Sprinter,54677,2017,AUD,australia,2000,82837,y,22,3
Fiat Ducato,52128,2020,AUD,australia,4700,96556,n,357,10
Volkswagen California,41492,2025,AUD,australia,4217,54593,n,138,4
Nissan NV200,46827,2020,AUD,australia,2300,59987,n,243,10
Hymer Aktiv,12036,2020,AUD,australia,4870,54740,y,27,5
Hymer Aktiv,51815,2023,AUD,australia,2000,99699,n,124,11
Dodge Ram Promaster,55083,2023,AUD,australia,2600,84858,n,119,12
Volkswagen California,26549,2020,AUD,australia,4810,79605,n,236,13
Fiat Ducato,55255,2019,AUD,australia,3350,50046,y,287,12
Chevrolet Express,18328,2024,AUD,australia,6230,55989,n,351,4
Toyota Hiace,43218,2019,AUD,australia,3350,52637,n,48,8
Toyota Hiace,12632,2023,AUD,australia,2500,93083,y,80,6
Toyota Hiace,34268,2022,AUD,australia,2500,81635,n,280,4
Dodge Ram Promaster,22849,2025,AUD,australia,2300,60721,y,91,11
Fiat Ducato,25635,2017,AUD,australia,4000,94690,y,240,4
Toyota Hiace,31149,2023,AUD,australia,2650,51803,n,91,11
Toyota Hiace,24230,2022,AUD,australia,3000,76802,y,33,12
Fiat Ducato,21950,2018,AUD,australia,6000,77243,n,150,6
Fiat Ducato,57686,2020,AUD,australia,2300,61675,n,9,7
Nissan NV200,20893,2021,AUD,australia,2600,66313,n,96,2
Dodge Ram Promaster,40527,2017,AUD,australia,4810,90010,n,30,8
Nissan NV200,29792,2015,AUD,australia,2600,65092,y,173,9
Mercedes-Benz Sprinter,58003,2021,AUD,australia,4670,99307,n,319,8
Volkswagen Westfalia,56494,2020,AUD,australia,2450,99737,y,265,13
Mercedes-Benz Sprinter,55480,2016,AUD,australia,2600,69165,n,169,12
Volkswagen Westfalia,35288,2018,AUD,australia,3000,71034,y,25,2
Chevrolet Express,33249,2022,AUD,australia,2300,89302,n,183,5
Mercedes-Benz Sprinter,22856,2021,AUD,australia,3500,92518,y,174,12
Hymer Aktiv,22451,2015,AUD,australia,2000,63779,y,206,4
Dodge Ram Promaster,44936,2024,AUD,australia,4000,51812,y,136,2
Mercedes-Benz Sprinter,53753,2016,AUD,australia,7000,58815,n,56,1
Volkswagen Westfalia,42156,2015,AUD,australia,3500,94802,y,185,9
Mercedes-Benz Sprinter,42567,2022,AUD,australia,3500,55477,y,33,3
Hymer Aktiv,51672,2016,AUD,australia,3350,57804,y,105,9
Dodge Ram Promaster,21310,2021,AUD,australia,7250,68737,y,49,8
Fiat Ducato,12832,2017,AUD,australia,7250,84676,y,327,1
Nissan NV200,18550,2021,AUD,australia,7250,72964,n,195,4
Fiat Ducato,33676,2019,AUD,australia,3550,91319,y,205,8
Hymer Aktiv,20208,2015,AUD,australia,2600,81812,y,53,4
Volkswagen California,49527,2025,AUD,australia,4700,75685,y,265,1
Volkswagen Westfalia,24859,2018,AUD,australia,3550,53219,y,15,11
Ford Transit,55858,2023,AUD,australia,2450,57392,y,303,11
Nissan NV200,46121,2019,AUD,australia,3550,90601,n,87,6
Nissan NV200,36772,2016,AUD,australia,3000,75312,n,285,3
Mercedes-Benz Sprinter,28378,2021,AUD,australia,2300,93266,y,12,13
Chevrolet Express,57468,2021,AUD,australia,6230,95314,y,236,10
Mercedes-Benz Sprinter,11268,2024,AUD,australia,4670,66692,y,309,7
Volkswagen California,11468,2020,AUD,australia,3350,59465,y,238,2
Volkswagen Westfalia,52757,2018,AUD,australia,2300,56025,n,237,12
Volkswagen Westfalia,17074,2019,AUD,australia,3630,57995,n,178,1
Volkswagen California,58203,2015,AUD,australia,3220,97762,y,95,6
Ford Transit,49952,2021,AUD,australia,4870,54974,n,20,12
Chevrolet Express,34208,2023,AUD,australia,3630,59694,n,252,9
Toyota Hiace,14758,2019,AUD,australia,2000,97979,y,251,8
Toyota Hiace,41526,2019,AUD,australia,3500,68565,y,4,6
Volkswagen California,58129,2022,AUD,australia,6000,54675,n,121,5
Volkswagen California,58996,2016,AUD,australia,3220,63280,y,71,9
Nissan NV200,15090,2025,AUD,australia,7250,60400,y,314,1
Hymer Aktiv,34778,2019,AUD,australia,4655,86981,n,161,8
Toyota Hiace,48210,2025,AUD,australia,3000,94170,y,112,8
Dodge Ram Promaster,29202,2015,AUD,australia,2830,92426,y,290,12
Volkswagen California,42093,2019,AUD,australia,6230,96170,n,39,4
Mercedes-Benz Sprinter,41273,2021,AUD,australia,2640,87218,n,51,9
Hymer Aktiv,24570,2021,AUD,australia,3630,87252,n,230,9
Volkswagen Westfalia,43209,2015,AUD,australia,3220,86328,n,309,13
Chevrolet Express,14121,2023,AUD,australia,3630,58740,n,231,5
Chevrolet Express,31281,2015,AUD,australia,2830,58982,n,292,12
Nissan NV200,19927,2015,AUD,australia,3350,98169,y,69,10
Volkswagen Westfalia,17786,2020,AUD,australia,6230,63638,y,237,4
Fiat Ducato,46362,2020,AUD,australia,2000,94349,y,166,3
Dodge Ram Promaster,56873,2023,AUD,australia,3000,65819,y,118,7
Nissan NV200,35009,2020,AUD,australia,4217,78578,y,270,9
Nissan NV200,43122,2024,AUD,australia,3350,94470,y,216,11
Hymer Aktiv,42995,2020,AUD,australia,2600,97795,n,198,4
Fiat Ducato,10381,2022,AUD,australia,3550,76325,y,230,13
Volkswagen Westfalia,34257,2021,AUD,australia,2830,95456,n,296,6
Mercedes-Benz Sprinter,24545,2020,AUD,australia,4810,50036,n,79,2
Volkswagen California,11092,2017,AUD,australia,2650,94224,y,126,10
Volkswagen California,16258,2021,AUD,australia,4350,50185,y,79,7
Nissan NV200,12491,2020,AUD,australia,3000,72880,y,192,12
Dodge Ram Promaster,57289,2021,AUD,australia,4870,99235,n,342,6
Ford Transit,48900,2023,AUD,australia,4217,72873,n,297,9
Dodge Ram Promaster,55204,2023,AUD,australia,3350,73067,y,346,9
Volkswagen California,47333,2016,AUD,australia,4000,77307,y,112,2
Nissan NV200,25214,2024,AUD,australia,4810,52800,n,206,8
Mercedes-Benz Sprinter,40117,2016,AUD,australia,2450,72085,n,334,11
Nissan NV200,31853,2021,AUD,australia,2600,88866,y,108,11
Nissan NV200,24278,2023,AUD,australia,4217,71095,n,131,6
Hymer Aktiv,49554,2019,AUD,australia,3550,75724,n,216,4
Nissan NV200,32718,2021,AUD,australia,4350,63888,n,258,6
Toyota Hiace,32060,2020,AUD,australia,3000,86019,n,299,13
Nissan NV200,37998,2017,AUD,australia,4551,85041,y,60,7
Hymer Aktiv,33395,2023,AUD,australia,4350,97530,n,304,11
Mercedes-Benz Sprinter,31828,2018,AUD,australia,4870,96728,y,169,11
Chevrolet Express,57878,2024,AUD,australia,4670,55968,y,228,4
Hymer Aktiv,10061,2017,AUD,australia,4551,60915,n,344,8
Toyota Hiace,39124,2020,AUD,australia,3550,51436,y,305,9
Mercedes-Benz Sprinter,39746,2024,AUD,australia,3220,89057,y,273,9
Fiat Ducato,28958,2019,AUD,australia,3350,76498,n,83,7
Toyota Hiace,57418,2015,AUD,australia,5000,70140,n,216,4
Nissan NV200,46583,2019,AUD,australia,3000,68908,y,106,8
Toyota Hiace,27095,2019,AUD,australia,2500,61894,n,4,7
Toyota Hiace,16328,2025,AUD,australia,2000,67146,y,230,9
Volkswagen Westfalia,36126,2015,AUD,australia,4700,72903,y,279,2
Volkswagen California,39588,2015,AUD,australia,2000,88068,n,53,5
Hymer Aktiv,15142,2018,AUD,australia,2830,82964,y,147,6
Toyota Hiace,35584,2019,AUD,australia,3500,59074,n,266,2
Chevrolet Express,45804,2016,AUD,australia,4551,68561,y,335,13
Nissan NV200,44803,2020,AUD,australia,2640,65137,y,251,2
Nissan NV200,52657,2024,AUD,australia,4700,69674,n,351,6
Chevrolet Express,58709,2017,AUD,australia,4217,55618,y,309,3
Fiat Ducato,51514,2025,AUD,australia,5000,52894,n,228,12
Dodge Ram Promaster,11902,2025,AUD,australia,4551,96731,n,78,8
Dodge Ram Promaster,12871,2024,AUD,australia,7250,83584,n,350,6
Fiat Ducato,43872,2016,AUD,australia,2600,96070,y,24,9
Nissan NV200,27273,2018,AUD,australia,3550,84350,y,192,6
Dodge Ram Promaster,19048,2019,AUD,australia,7250,84430,n,159,7
Ford Transit,11884,2019,AUD,australia,6230,71995,n,66,1
Nissan NV200,21135,2020,AUD,australia,2450,78934,n,107,10
Nissan NV200,27281,2021,AUD,australia,4217,55030,y,129,5
Hymer Aktiv,40645,2017,AUD,australia,4217,69064,y,293,2
Hymer Aktiv,50422,2020,AUD,australia,7250,81048,n,178,5
Volkswagen California,24346,2015,AUD,australia,2450,82141,n,161,12
Hymer Aktiv,12735,2016,AUD,australia,2300,82601,y,318,8
Nissan NV200,51681,2015,AUD,australia,4700,58977,y,11,7
Ford Transit,16117,2016,AUD,australia,4700,97414,n,292,11
Mercedes-Benz Sprinter,29368,2015,AUD,australia,3220,61643,y,55,9
Mercedes-Benz Sprinter,25002,2024,AUD,australia,3000,76143,y,161,4
Nissan NV200,21725,2025,AUD,australia,3550,74956,n,231,2
Mercedes-Benz Sprinter,52525,2022,AUD,australia,2830,53623,n,207,10
Fiat Ducato,27296,2017,AUD,australia,4670,94474,y,166,12
Volkswagen California,43671,2019,AUD,australia,3000,64905,n,85,2
Toyota Hiace,59399,2020,AUD,australia,3350,64640,n,17,8
Hymer Aktiv,28147,2016,AUD,australia,2600,55084,y,170,5
Volkswagen Westfalia,17382,2025,AUD,australia,2650,89813,y,315,9
Ford Transit,38214,2016,AUD,australia,2650,86596,y,216,11
Dodge Ram Promaster,36132,2024,AUD,australia,2300,56578,y,117,1
Mercedes-Benz Sprinter,32734,2019,AUD,australia,3350,72994,y,127,4
Dodge Ram Promaster,22938,2024,AUD,australia,2450,58736,n,268,1
Dodge Ram Promaster,58597,2025,AUD,australia,4350,98577,n,175,13
Mercedes-Benz Sprinter,15833,2023,AUD,australia,3630,50453,n,209,7
Chevrolet Express,26782,2022,AUD,australia,4217,78261,n,12,7
Mercedes-Benz Sprinter,35794,2015,AUD,australia,4655,92847,y,307,13
Chevrolet Express,37194,2016,AUD,australia,2650,79750,n,293,3
Toyota Hiace,16290,2017,AUD,australia,3000,86259,n,252,10
Chevrolet Express,39356,2024,AUD,australia,3350,72074,n,99,8
Volkswagen California,17681,2018,AUD,australia,4655,61157,y,210,12
Toyota Hiace,17752,2025,AUD,australia,3630,59667,n,89,11
Chevrolet Express,34085,2025,AUD,australia,4670,73533,y,55,13
Volkswagen California,56421,2017,AUD,australia,2600,91145,y,267,8
Dodge Ram Promaster,57332,2023,AUD,australia,4217,56363,y,204,3
Volkswagen California,42991,2019,AUD,australia,2300,61549,n,275,7
Toyota Hiace,10371,2020,AUD,australia,2650,60231,n,273,7
Ford Transit,52859,2018,AUD,australia,5000,84456,y,314,1
Hymer Aktiv,54736,2024,AUD,australia,3500,96394,y,23,6
Chevrolet Express,55506,2016,AUD,australia,4551,59210,n,300,7
Chevrolet Express,59811,2022,AUD,australia,4217,82412,n,147,11
Volkswagen Westfalia,57983,2016,AUD,australia,3500,79861,n,325,3
Ford Transit,25756,2021,AUD,australia,6230,60104,n,100,5
Nissan NV200,28842,2015,AUD,australia,2000,58816,n,255,6
Nissan NV200,40539,2023,AUD,australia,2600,72588,y,313,1
Dodge Ram Promaster,27254,2022,AUD,australia,4700,93294,n,108,4
Fiat Ducato,38221,2024,AUD,australia,4350,77843,y,161,1
Mercedes-Benz Sprinter,37090,2020,AUD,australia,3000,67681,n,39,3
Volkswagen Westfalia,54763,2024,AUD,australia,4810,55401,n,34,7
Volkswagen California,50973,2023,AUD,australia,2300,52469,n,290,6
Volkswagen Westfalia,19430,2019,AUD,australia,2650,54569,y,243,1
Dodge Ram Promaster,12321,2018,AUD,australia,6230,64247,y,339,6
Volkswagen California,50745,2020,AUD,australia,2500,79399,y,178,9
Chevrolet Express,18036,2024,AUD,australia,4700,93444,n,14,11
Mercedes-Benz Sprinter,20138,2017,AUD,australia,4000,71637,y,234,11
Hymer Aktiv,42316,2018,AUD,australia,3550,73065,y,105,6
Fiat Ducato,17020,2020,AUD,australia,6000,84414,n,47,4
Nissan NV200,19531,2018,AUD,australia,5000,76184,y,83,6
Chevrolet Express,57662,2024,AUD,australia,2830,61979,y,364,4
Dodge Ram Promaster,12136,2024,AUD,australia,4350,68601,y,254,10
Mercedes-Benz Sprinter,42093,2021,AUD,australia,4350,62557,n,241,3
Nissan NV200,59605,2018,AUD,australia,4655,68091,n,73,11
Volkswagen Westfalia,54967,2018,AUD,australia,2830,89755,n,82,11
Hymer Aktiv,16392,2021,AUD,australia,5000,85797,n,156,6
Volkswagen California,35351,2025,AUD,australia,3220,80550,y,285,8
Volkswagen California,45673,2023,AUD,australia,7250,79605,n,177,1
Fiat Ducato,44278,2018,AUD,australia,4670,90670,n,247,11
Chevrolet Express,40212,2019,AUD,australia,6230,57971,n,149,8
Volkswagen California,10134,2024,AUD,australia,2640,66016,n,62,7
Volkswagen California,55732,2015,AUD,australia,4740,65227,n,316,5
Volkswagen California,55775,2024,AUD,australia,6000,61165,y,240,3
Ford Transit,24374,2022,AUD,australia,3000,63208,n,38,7
Hymer Aktiv,27876,2023,AUD,australia,4810,64930,y,197,2
Fiat Ducato,35533,2016,AUD,australia,3500,68134,n,212,4
Fiat Ducato,20834,2017,AUD,australia,2650,98548,n,191,5
Volkswagen Westfalia,47524,2017,AUD,australia,3550,91512,n,319,7
Nissan NV200,52975,2020,AUD,australia,4551,97543,n,322,11
Dodge Ram Promaster,37242,2015,AUD,australia,2450,55585,n,226,11
Dodge Ram Promaster,25220,2018,AUD,australia,6000,99350,n,173,12
Nissan NV200,20006,2018,AUD,australia,2300,60003,y,235,2
Hymer Aktiv,43154,2019,AUD,australia,4700,91361,n,313,5
Hymer Aktiv,15437,2020,AUD,australia,4700,68083,y,299,5
Toyota Hiace,58844,2023,AUD,australia,4870,84366,n,145,12
Nissan NV200,13174,2021,AUD,australia,7250,73632,n,198,10
Chevrolet Express,24087,2015,AUD,australia,3550,71792,n,264,4
Volkswagen California,35167,2024,AUD,australia,4350,65123,y,245,8
Volkswagen California,41809,2018,AUD,australia,3630,73978,n,351,9
Dodge Ram Promaster,52657,2015,AUD,australia,5000,76206,y,338,12
Volkswagen Westfalia,22780,2025,AUD,australia,6000,86727,n,334,6
Dodge Ram Promaster,38669,2019,AUD,australia,2830,85385,y,287,8
Dodge Ram Promaster,39438,2015,AUD,australia,2830,52648,n,39,13
Fiat Ducato,57999,2025,AUD,australia,2830,72351,y,185,4
Fiat Ducato,22437,2020,AUD,australia,3000,78348,n,231,13
Dodge Ram Promaster,18095,2019,AUD,australia,3550,78611,n,256,5
Volkswagen Westfalia,45999,2019,AUD,australia,2650,61995,y,154,7
Dodge Ram Promaster,41886,2020,AUD,australia,3630,86932,y,197,2
Mercedes-Benz Sprinter,28371,2021,AUD,australia,2500,67916,y,333,11
Toyota Hiace,23893,2015,AUD,australia,4000,87296,y,223,1
Mercedes-Benz Sprinter,52995,2023,AUD,australia,4000,92722,n,118,13
Chevrolet Express,45881,2016,AUD,australia,4000,93867,y,325,4
Ford Transit,28387,2021,AUD,australia,4551,54709,n,220,5
Nissan NV200,38554,2018,AUD,australia,4000,67931,n,172,3
Toyota Hiace,36700,2017,AUD,australia,2450,69352,n,39,1
